epoch,train_loss,train_iou,train_precision,train_recall,train_f1,val_loss,val_iou,val_precision,val_recall,val_f1
1,0.9600753939964555,0.2787825335663828,0.5146478702398863,0.43513463031161914,0.4554664103144949,0.8274765579324019,0.36123723575943395,0.5105743329775961,0.6273586232411233,0.5479210270078558
2,0.854738363488154,0.4020850621163845,0.5556118667803027,0.6233456876467575,0.5817267864265225,0.8193967781568828,0.40251698148877996,0.5001272417997059,0.7157024992139716,0.5794895903060311
3,0.811944031579928,0.44199774211103265,0.5959437560628761,0.6560305092822422,0.6166378611868079,0.812447096172132,0.42427760048916463,0.5180357035837675,0.7057507728275499,0.5924711509754783
4,0.8020121550018137,0.44637984850189905,0.6164668893272226,0.6247532767328349,0.6152755140580914,0.7434470433937875,0.4230012266259444,0.6074212256230807,0.6102937240349618,0.5998496962221045
5,0.7827679433605887,0.46362974189899187,0.6226396032355048,0.6510840627280149,0.631115202199329,0.7471468825089304,0.447342187166214,0.5416681876308039,0.7531528221933466,0.624422898418025
6,0.7715279764749787,0.4717405868524855,0.6360384743999351,0.657742555168542,0.6396147351373326,0.7864826509827062,0.4477550277584477,0.5066020865189401,0.826929161423131,0.6234634597050516
7,0.7647877044298432,0.4796503944830461,0.6404259204864502,0.6638410311530937,0.6449624482880939,0.7168490918059098,0.4708263481918134,0.5786754300719813,0.7395357834665399,0.6439411655852669
8,0.745339384810491,0.49134353311224416,0.6521119370379231,0.6784854808991606,0.6591108698736537,0.7441835372071517,0.46000632643699646,0.5413989110996849,0.7778929534711336,0.6328700325990978
9,0.7419765408743512,0.49351168728687544,0.6654327318749644,0.6607341918755661,0.6568804694847628,0.7613991216609353,0.444667155805387,0.5405015521927884,0.7362952389215168,0.6179448993582475
10,0.7332418337464333,0.5006814754822038,0.6564137437804178,0.6893876960331743,0.6671169556000016,0.696294903755188,0.48425423000988205,0.5917290449142456,0.7503686547279358,0.6568410773026315
11,0.728239467875524,0.5021033883094788,0.6673446978357706,0.6778312339024111,0.6649169224229726,0.7527017028708207,0.477926210353249,0.5428463471563238,0.8042682754366022,0.6426600343302676
12,0.7085639306090095,0.5132602710615505,0.6762203039093451,0.6886863078583371,0.6759288311004639,0.719282583186501,0.45929850559485585,0.5896598398685455,0.6899317346121135,0.6278214313481983
13,0.7003611759705977,0.5221486088227142,0.6880341863090341,0.6889806985855103,0.6831812472506003,0.6665927234448885,0.4944874942302704,0.6373855487296456,0.7076421097705239,0.6644126176834106
14,0.7007414359938015,0.5201808766207912,0.6813953969288956,0.6944964992051775,0.6815065690739588,0.6489690793187994,0.4976065535294382,0.6709818965510318,0.6705604634786907,0.6638616307785636
15,0.6860466606237672,0.5333407890390266,0.6830953850664876,0.7137014351107858,0.6917644888162613,0.6814802602717751,0.4998728601556075,0.5963089591578433,0.7500906837613959,0.6594563440272683
16,0.6877125704830344,0.529246889393438,0.6907036429779096,0.6987982846119187,0.6871836666356433,0.6573420245396463,0.485285012345565,0.6663251629001216,0.6516480790941339,0.6517565768016013
17,0.6784320764920928,0.5432563248005781,0.6851858889514749,0.7312981872396036,0.7012718167494644,0.7109192390190927,0.490401953458786,0.5541800009576898,0.8273565173149109,0.6577599487806621
18,0.6610453298146074,0.5482877255840735,0.7049729475243525,0.7171171741052107,0.7044626704671166,0.6435770988464355,0.5076995601779536,0.6491483904813465,0.7068589894395125,0.6720269040057534
19,0.6606960245831446,0.5505171096460386,0.6982286132194779,0.7258964390917257,0.7072921043092554,0.6479828640034324,0.5091433948592136,0.6430428169275585,0.7253799218880502,0.6751592472979897
20,0.6623561446639624,0.5494394336234439,0.7033458484167402,0.7203266430984844,0.7060814811424776,0.7130560090667323,0.4986768051197654,0.5604824345362814,0.8267336895591334,0.6632175288702312
