epoch,train_loss,train_iou,train_precision,train_recall,train_f1,val_loss,val_iou,val_precision,val_recall,val_f1
1,1.002733196724545,3.103527626652477e-11,1.0,2.753448688276468e-12,5.506896755600783e-12,0.8735610905446505,4.402028540660904e-11,1.0,3.5701977170491276e-12,7.140394612387135e-12
2,0.9276914122429761,3.092797159474788e-11,1.0,2.6957599859764567e-12,5.3915193854981014e-12,0.8842550704353734,4.402028540660904e-11,1.0,3.5701977170491276e-12,7.140394612387135e-12
3,0.9188694466244091,0.0971385570335518,0.8473081673410806,0.17703341415597526,0.14109588687860616,0.8792280052837572,0.2027985004610137,0.49959387277301986,0.30186145203678233,0.35868987009713527
4,0.9066447053443302,0.3054157402617751,0.5367145778357305,0.5134903681861364,0.46844527747122233,0.8351934489450956,0.2829943487518712,0.4993838746296732,0.464238545612285,0.46385738567302104
5,0.8816931708292528,0.3532536954153329,0.548399711959064,0.5640342136083002,0.5303805119104006,0.8766038323703566,0.34340798933255046,0.4645267819103442,0.6440486108001909,0.5275815333190718
6,0.8850816027684645,0.35166583773256704,0.5597679327157411,0.5606625895862553,0.5268136472441256,0.8240640414388556,0.34236010909080505,0.5011301024963981,0.5844769760182029,0.5233931855151528
7,0.8666281734000553,0.3735562182793563,0.5609124763445421,0.5770233048295433,0.5455489588732069,0.8459123435773348,0.36093361440457794,0.510833707294966,0.6122779061919764,0.5415541811993247
8,0.8521206629547206,0.39740501141006296,0.5678939744830132,0.6125272851098668,0.5766188763082027,0.8433832181127447,0.3937584444096214,0.4620868124459919,0.7704344391822815,0.570537131083639
9,0.8488531207496469,0.39930584078485315,0.5766438570889559,0.5935545353726908,0.5731599608605559,0.8541309394334492,0.39064972024214895,0.4563783171929811,0.7642224525150499,0.5640807590986553
10,0.836421400308609,0.4105014584281228,0.5774288109757684,0.6087193258784034,0.581753035499291,0.8249708539561221,0.35110871650670705,0.5280834985406775,0.5472516778268313,0.5227619472302889
11,0.8507162169976668,0.404530119150877,0.5786624513566494,0.6032525314526125,0.5740458972074769,0.8851956474153619,0.3940967886071456,0.45592253772835983,0.7702933926331369,0.5658293460544787
