model,iou,precision,recall,f1,mae
baseline,0.3412478401472694,0.495168924331665,0.5923948585987091,0.5168370745683971,0.3063383565137261
improved,0.537026341024198,0.667645441858392,0.7502822813234831,0.6960834892172563,0.2027868604973743
